iter	Logloss
0	0.6872074061
1	0.6808758278
2	0.6748439462
3	0.6691404655
4	0.6634702144
5	0.6589270441
6	0.6538552573
7	0.6486948777
8	0.6434627239
9	0.6383318539
10	0.6334601883
11	0.628923864
12	0.6240178385
13	0.619608987
14	0.6147565127
15	0.6108205145
16	0.6058285912
17	0.6016584039
18	0.5983314834
19	0.5937639745
20	0.5904336299
21	0.5867804736
22	0.5834986014
23	0.5798057877
24	0.575838268
25	0.5718035993
26	0.5682323587
27	0.5647605757
28	0.5610051016
29	0.5585227475
30	0.5550381736
31	0.5519198559
32	0.5485177088
33	0.54522807
34	0.5419315585
35	0.5387628109
36	0.5366091063
37	0.5339497557
38	0.5312430773
39	0.5287205027
40	0.5258253865
41	0.5234799788
42	0.5207268882
43	0.5187738388
44	0.516178163
45	0.5141907766
46	0.5123961801
47	0.5097525657
48	0.5077602607
49	0.505521221
50	0.5029884638
51	0.5009997441
52	0.4990431247
53	0.4968044771
54	0.4944276509
55	0.4919550631
56	0.4898818443
57	0.487884843
58	0.4857086109
59	0.4839904691
60	0.4821000092
61	0.4807806518
62	0.4795496141
63	0.4778220108
64	0.4760294652
65	0.4740436669
66	0.4724559254
67	0.4711843615
68	0.4692823223
69	0.4679632807
70	0.4665708033
71	0.4653151826
72	0.4646454229
73	0.4631722417
74	0.4619358278
75	0.4605923757
76	0.4591522278
77	0.4574147705
78	0.4560154114
79	0.4545594997
80	0.453202865
81	0.4520538219
82	0.4510321145
83	0.4498571713
84	0.4488901724
85	0.44744525
86	0.4463947964
87	0.445825331
88	0.4448303273
89	0.4438558606
90	0.4427843952
91	0.4415662979
92	0.4406171247
93	0.4392723551
94	0.4385797689
95	0.4377370516
96	0.4372330648
97	0.4362974404
98	0.4355383139
99	0.4347755494
100	0.4340465245
101	0.4336966243
102	0.4328184381
103	0.43191458
104	0.4308870864
105	0.430275841
106	0.4293519944
107	0.428675415
108	0.4276818432
109	0.4269185634
110	0.426086013
111	0.4252314912
112	0.4244769025
113	0.4235586374
114	0.4229335602
115	0.4224773555
116	0.4216068706
117	0.4213578522
118	0.4207519813
119	0.4201147262
120	0.419574401
121	0.4186685501
122	0.4179842676
123	0.4173104877
124	0.4165516981
125	0.4160951796
126	0.4152938919
127	0.4147347872
128	0.4139708687
129	0.4134582713
130	0.4126616278
131	0.4122220842
132	0.4115205608
133	0.4107135719
134	0.4100643573
135	0.4093434401
136	0.4088294466
137	0.4082971818
138	0.4079207191
139	0.407678245
140	0.4071449086
141	0.4067510999
142	0.4063551872
143	0.4057809951
144	0.4051861017
145	0.404497129
146	0.4040674464
147	0.4035149276
148	0.4031668751
149	0.4028080115
150	0.402402931
151	0.4020481554
152	0.4015056058
153	0.4009888224
154	0.4004598922
155	0.400153944
156	0.3995865839
157	0.398877692
158	0.3984921187
159	0.3980652174
160	0.3973803703
161	0.3968857291
162	0.3963618645
163	0.396058145
164	0.3956719703
165	0.3951311791
166	0.3947405099
167	0.3942603749
168	0.3940054546
169	0.3937275422
170	0.3933868825
171	0.3931120649
172	0.3926581323
173	0.3922033605
174	0.3917920823
175	0.3914827611
176	0.3910146659
177	0.3907054608
178	0.3903205718
179	0.3898291827
180	0.3894731948
181	0.3892488779
182	0.3886760538
183	0.3884066973
184	0.3877298265
185	0.3873162644
186	0.3870514018
187	0.3866277553
188	0.3861482669
189	0.3857316962
190	0.3855434962
191	0.385303933
192	0.3849247727
193	0.3846932448
194	0.3842908869
195	0.3841063809
196	0.3838056505
197	0.3833670334
198	0.383162821
199	0.3827554226
200	0.3823771758
201	0.3820969345
202	0.3817111521
203	0.381383297
204	0.3809234724
205	0.3807153612
206	0.3802624028
207	0.3800034349
208	0.3798163562
209	0.37940227
210	0.3791180056
211	0.37880404
212	0.3784605557
213	0.3783513352
214	0.3781760282
215	0.377844778
216	0.3775503954
217	0.3773632502
218	0.3771442912
219	0.3769316314
220	0.3765519258
221	0.3763133785
222	0.3759627233
223	0.3757851639
224	0.3754890115
225	0.3750785907
226	0.3749510306
227	0.3746611244
228	0.3744076259
229	0.3741171431
230	0.3738230873
231	0.3735609963
232	0.373275149
233	0.3729245241
234	0.3727322488
235	0.372522866
236	0.3722544905
237	0.3720356817
238	0.3718444989
239	0.3716857198
240	0.3713237102
241	0.3711657573
242	0.3709396418
243	0.3706561205
244	0.3704142054
245	0.3701239022
246	0.3700078637
247	0.3698689743
248	0.3695861187
249	0.3692998753
250	0.3690294345
251	0.3687797757
252	0.36855236
253	0.3683511284
254	0.3680984316
255	0.3679364962
256	0.3676717915
257	0.367414852
258	0.367288866
259	0.3670473595
260	0.3668769685
261	0.3666102945
262	0.3664747725
263	0.3662912551
264	0.3660343996
265	0.3658748502
266	0.3657246443
267	0.3656120499
268	0.3654996229
269	0.3652553317
270	0.3650796148
271	0.3648580963
272	0.3645911641
273	0.3643017164
